amplitud_inicial;frecuencia_inicial;amplitud_final;frecuencia_final
0,395501607;8109,375;0,290748273;8109,375
0,089117103;8132,8125;0,116712334;8132,8125
0,258319252;8156,25;0,018393681;8156,25
0,18119413;8179,6875;0,29907718;8179,6875
0,107704455;8203,125;0,142349499;8203,125
0,13788081;8226,5625;0,354917931;8226,5625
0,201509479;8250;0,12414151;8250
0,212519287;8273,4375;0,139744855;8273,4375
0,064500903;8296,875;0,151531677;8296,875
0,131609683;8320,3125;0,273112688;8320,3125
0,121268114;8343,75;0,148909645;8343,75
0,148958995;8367,1875;0,068530561;8367,1875
0,127409184;8390,625;0,240872565;8390,625
0,165695887;8414,0625;0,241768836;8414,0625
0,070636873;8437,5;0,381479382;8437,5
0,101715455;8460,9375;0,269679608;8460,9375
0,157631141;8484,375;0,206795074;8484,375
0,166402979;8507,8125;0,215516169;8507,8125
0,151199915;8531,25;0,219544594;8531,25
0,200067174;8554,6875;0,109079069;8554,6875
0,347958149;8578,125;0,292917067;8578,125
0,200936253;8601,5625;0,360572055;8601,5625
0,053823128;8625;0,256159981;8625
0,21081261;8648,4375;0,133189851;8648,4375
0,22921229;8671,875;0,272439329;8671,875
0,183878905;8695,3125;0,164907514;8695,3125
0,104938771;8718,75;0,408931945;8718,75
0,164679902;8742,1875;0,128501005;8742,1875
0,20206389;8765,625;0,258213945;8765,625
0,067639865;8789,0625;0,126526336;8789,0625
0,023010531;8812,5;0,34046259;8812,5
0,142788252;8835,9375;0,1242114;8835,9375
0,163607058;8859,375;0,113923688;8859,375
0,111095616;8882,8125;0,103565063;8882,8125
0,020945911;8906,25;0,249504218;8906,25
0,070461803;8929,6875;0,159441675;8929,6875
0,088817175;8953,125;0,206761467;8953,125
0,156055825;8976,5625;0,293263893;8976,5625
0,080999629;9000;0,218629117;9000
0,215192395;9023,4375;0,099769916;9023,4375
0,122711649;9046,875;0,20013984;9046,875
0,303322985;9070,3125;0,351523867;9070,3125
0,094288632;9093,75;0,256502584;9093,75
0,089717213;9117,1875;0,15075313;9117,1875
0,212593728;9140,625;0,205428205;9140,625
0,273558971;9164,0625;0,192864581;9164,0625
0,079575436;9187,5;0,096587726;9187,5
0,270992172;9210,9375;0,066223672;9210,9375
0,365703338;9234,375;0,159738176;9234,375
0,103266945;9257,8125;0,48667479;9257,8125
0,047694133;9281,25;0,397418316;9281,25
0,23013569;9304,6875;0,413302581;9304,6875
0,115440047;9328,125;0,062243907;9328,125
0,351687464;9351,5625;0,095159208;9351,5625
0,19348649;9375;0,391198794;9375
0,037738406;9398,4375;0,119519627;9398,4375
0,102748372;9421,875;0,376852065;9421,875
0,308269829;9445,3125;0,157403191;9445,3125
0,144632116;9468,75;0,077858245;9468,75
0,426123691;9492,1875;0,066794184;9492,1875
0,310081563;9515,625;0,126421062;9515,625
0,071147007;9539,0625;0,12459681;9539,0625
0,200880104;9562,5;0,437816243;9562,5
0,166853327;9585,9375;0,250452898;9585,9375
0,243300201;9609,375;0,069712906;9609,375
0,460222638;9632,8125;0,343692582;9632,8125
0,321559317;9656,25;0,017052492;9656,25
0,682802494;9679,6875;0,070801536;9679,6875
0,194139341;9703,125;0,149373034;9703,125
0,212805853;9726,5625;0,362581046;9726,5625
0,187728685;9750;0,040456261;9750
0,681323026;9773,4375;0,140939775;9773,4375
0,349362416;9796,875;0,046098897;9796,875
0,478273033;9820,3125;0,133916871;9820,3125
0,291765312;9843,75;0,337394482;9843,75
0,154819031;9867,1875;0,206439283;9867,1875
0,151178152;9890,625;0,05943607;9890,625
0,619199106;9914,0625;0,136582695;9914,0625
0,074383842;9937,5;0,140177899;9937,5
0,153464383;9960,9375;0,119070856;9960,9375
0,399362797;9984,375;0,158327127;9984,375
0,25783667;10007,8125;0,130446159;10007,8125
0,130461627;10031,25;0,15761808;10031,25
0,148525796;10054,6875;0,179334631;10054,6875
0,325633623;10078,125;0,121473104;10078,125
0,259968871;10101,5625;0,102014873;10101,5625
0,092024725;10125;0,117004661;10125
0,304367506;10148,4375;0,132555789;10148,4375
0,102567122;10171,875;0,157254811;10171,875
0,203320755;10195,3125;0,122752499;10195,3125
0,228919766;10218,75;0,08332723;10218,75
0,324482597;10242,1875;0,157171121;10242,1875
0,154619955;10265,625;0,038073607;10265,625
0,229215204;10289,0625;0,066443731;10289,0625
0,040473652;10312,5;0,125414025;10312,5
0,166273445;10335,9375;0,185409057;10335,9375
0,114541151;10359,375;0,185631227;10359,375
0,115325104;10382,8125;0,053042014;10382,8125
0,145721806;10406,25;0,149460722;10406,25
0,196120102;10429,6875;0,102783663;10429,6875
0,187464713;10453,125;0,089744518;10453,125
0,031187022;10476,5625;0,055052091;10476,5625
0,35680361;10500;0,052575265;10500
0,147955427;10523,4375;0,108914334;10523,4375
0,056586617;10546,875;0,021455615;10546,875
0,246781112;10570,3125;0,045562315;10570,3125
0,196998399;10593,75;0,086753975;10593,75
0,17068618;10617,1875;0,20166576;10617,1875
0,025481063;10640,625;0,03882067;10640,625
0,084466479;10664,0625;0,141350895;10664,0625
0,077687818;10687,5;0,039699741;10687,5
0,217418709;10710,9375;0,108981631;10710,9375
0,072011973;10734,375;0,072223094;10734,375
0,088080187;10757,8125;0,11237306;10757,8125
0,198199334;10781,25;0,170755151;10781,25
0,169634255;10804,6875;0,099187455;10804,6875
0,032618873;10828,125;0,166654315;10828,125
0,202098919;10851,5625;0,088054172;10851,5625
0,19270943;10875;0,077987403;10875
0,16277843;10898,4375;0,099658595;10898,4375
0,163992946;10921,875;0,025697421;10921,875
0,145253337;10945,3125;0,107455464;10945,3125
0,243223644;10968,75;0,23475043;10968,75
0,131535706;10992,1875;0,166455692;10992,1875
0,260729699;11015,625;0,033845224;11015,625
0,095532156;11039,0625;0,06172028;11039,0625
0,138931157;11062,5;0,058458182;11062,5
0,08602348;11085,9375;0,14198831;11085,9375
0,193457388;11109,375;0,150611644;11109,375
0,149735158;11132,8125;0,03617432;11132,8125
0,203583865;11156,25;0,093464505;11156,25
0,20596661;11179,6875;0,071549949;11179,6875
0,093719716;11203,125;0,03117548;11203,125
0,08038276;11226,5625;0,156163934;11226,5625
0,142972143;11250;0,078810169;11250
0,105743696;11273,4375;0,078839613;11273,4375
0,034608265;11296,875;0,081589294;11296,875
0,096735864;11320,3125;0,103659999;11320,3125
0,078218893;11343,75;0,05519535;11343,75
0,074707835;11367,1875;0,126288136;11367,1875
0,160901478;11390,625;0,119310647;11390,625
0,133169795;11414,0625;0,068951404;11414,0625
0,070986165;11437,5;0,050741625;11437,5
0,074289298;11460,9375;0,127995855;11460,9375
0,063285035;11484,375;0,068237762;11484,375
0,10691286;11507,8125;0,114174248;11507,8125
0,06134033;11531,25;0,101481762;11531,25
0,11752326;11554,6875;0,069965593;11554,6875
0,094730963;11578,125;0,174430506;11578,125
0,080513665;11601,5625;0,126071666;11601,5625
0,024988663;11625;0,040517106;11625
0,03121925;11648,4375;0,190806316;11648,4375
0,133753234;11671,875;0,117252215;11671,875
0,037846771;11695,3125;0,068276348;11695,3125
0,074494054;11718,75;0,041821872;11718,75
0,035863868;11742,1875;0,255895792;11742,1875
0,008777407;11765,625;0,215092921;11765,625
0,088802754;11789,0625;0,090841479;11789,0625
0,024891853;11812,5;0,110743176;11812,5
0,0787265;11835,9375;0,174813205;11835,9375
0,016122996;11859,375;0,110094185;11859,375
0,052945023;11882,8125;0,067084082;11882,8125
0,055286831;11906,25;0,102101224;11906,25
0,084670283;11929,6875;0,072062182;11929,6875
0,061159444;11953,125;0,068515926;11953,125
0,079158274;11976,5625;0,024172602;11976,5625
0,046530901;12000;0,108972238;12000
