amplitud_inicial,frecuencia_inicial,amplitud_final,frecuencia_final,gasto_estimado
0.203320755,10195.3125,0.122752499,10195.3125,0.19899277
0.228919766,10218.75,0.08332723,10218.75,0.19888489
0.324482597,10242.1875,0.157171121,10242.1875,0.19877645
0.154619955,10265.625,0.038073607,10265.625,0.19866955
0.229215204,10289.0625,0.066443731,10289.0625,0.1985613
0.040473652,10312.5,0.125414025,10312.5,0.19845405
0.166273445,10335.9375,0.185409057,10335.9375,0.19834553
0.114541151,10359.375,0.185631227,10359.375,0.19823784
0.115325104,10382.8125,0.053042014,10382.8125,0.1981303
0.145721806,10406.25,0.149460722,10406.25,0.19802205
0.196120102,10429.6875,0.102783663,10429.6875,0.19791408
0.187464713,10453.125,0.089744518,10453.125,0.19780627
0.031187022,10476.5625,0.055052091,10476.5625,0.19769911
0.35680361,10500.0,0.052575265,10500.0,0.19758992
0.147955427,10523.4375,0.108914334,10523.4375,0.19748276
0.056586617,10546.875,0.021455615,10546.875,0.19737548
0.246781112,10570.3125,0.045562315,10570.3125,0.19726676
0.196998399,10593.75,0.086753975,10593.75,0.19715898
0.17068618,10617.1875,0.20166576,10617.1875,0.19705093
0.025481063,10640.625,0.03882067,10640.625,0.19694404
0.084466479,10664.0625,0.141350895,10664.0625,0.19683568
0.077687818,10687.5,0.039699741,10687.5,0.19672807
0.217418709,10710.9375,0.108981631,10710.9375,0.19661947
0.072011973,10734.375,0.072223094,10734.375,0.19651225
0.088080187,10757.8125,0.11237306,10757.8125,0.19640423
0.198199334,10781.25,0.170755151,10781.25,0.19629575
0.169634255,10804.6875,0.099187455,10804.6875,0.19618817
0.032618873,10828.125,0.166654315,10828.125,0.19608068
0.202098919,10851.5625,0.088054172,10851.5625,0.19597231
0.19270943,10875.0,0.077987403,10875.0,0.19586448
0.16277843,10898.4375,0.099658595,10898.4375,0.19575669
0.163992946,10921.875,0.025697421,10921.875,0.19564898
0.145253337,10945.3125,0.107455464,10945.3125,0.195541
0.243223644,10968.75,0.23475043,10968.75,0.1954324
0.131535706,10992.1875,0.166455692,10992.1875,0.19532514
0.260729699,11015.625,0.033845224,11015.625,0.19521707
0.095532156,11039.0625,0.06172028,11039.0625,0.1951098
0.138931157,11062.5,0.058458182,11062.5,0.19500175
0.08602348,11085.9375,0.14198831,11085.9375,0.19489388
0.193457388,11109.375,0.150611644,11109.375,0.19478555
0.149735158,11132.8125,0.03617432,11132.8125,0.19467813
0.203583865,11156.25,0.093464505,11156.25,0.19456989
0.20596661,11179.6875,0.071549949,11179.6875,0.19446206
0.093719716,11203.125,0.03117548,11203.125,0.19435474
0.08038276,11226.5625,0.156163934,11226.5625,0.1942466
0.142972143,11250.0,0.078810169,11250.0,0.19413866
